gene,model,random,strict,moran_i,inflation,dataset,platform,strict_type,strict_split
S100A11,pca_ridge,0.25662575459377857,0.2536864371550445,0.1697706261926276,0.002939317438734046,dlpfc,Visium_DLPFC,patient,patient_
S100A11,spatial_knn,0.2545070374080871,0.25498863053733284,0.1697706261926276,-0.0004815931292457276,dlpfc,Visium_DLPFC,patient,patient_
S100B,mean,0.0,0.0,0.2048527570168208,0.0,dlpfc,Visium_DLPFC,patient,patient_
S100B,pca_ridge,0.341619958157774,0.2918795242191858,0.2048527570168208,0.049740433938588235,dlpfc,Visium_DLPFC,patient,patient_
S100B,spatial_knn,0.1506780333164137,0.0731515395880759,0.2048527570168208,0.0775264937283378,dlpfc,Visium_DLPFC,patient,patient_
SAA1,pca_ridge,0.13577841653370692,0.04867867780801974,0.4136080591854777,0.08709973872568719,dlpfc,Visium_DLPFC,patient,patient_
SAA1,spatial_knn,0.5090474770866843,0.49217837988142915,0.4136080591854777,0.016869097205255146,dlpfc,Visium_DLPFC,patient,patient_
SAA2,mean,0.0,0.0,0.1772707756291735,0.0,dlpfc,Visium_DLPFC,patient,patient_
SAA2,pca_ridge,0.07736151695889644,0.03963592650495616,0.1772707756291735,0.03772559045394028,dlpfc,Visium_DLPFC,patient,patient_
SAA2,spatial_knn,0.27184718093964994,0.2579187083627661,0.1772707756291735,0.013928472576883844,dlpfc,Visium_DLPFC,patient,patient_
SCGB1D2,mean,0.0,0.0,0.5286076681339221,0.0,dlpfc,Visium_DLPFC,patient,patient_
SCGB1D2,pca_ridge,0.24523025263244116,0.20636874744631353,0.5286076681339221,0.03886150518612763,dlpfc,Visium_DLPFC,patient,patient_
SCGB1D2,spatial_knn,0.5909445757176124,0.5663008921318551,0.5286076681339221,0.024643683585757303,dlpfc,Visium_DLPFC,patient,patient_
SCGB2A2,mean,0.0,0.0,0.7143328555346343,0.0,dlpfc,Visium_DLPFC,patient,patient_
SCGB2A2,pca_ridge,0.2974663444187652,0.25526034696892513,0.7143328555346343,0.04220599744984005,dlpfc,Visium_DLPFC,patient,patient_
SCGB2A2,spatial_knn,0.712950083526268,0.6888551748873043,0.7143328555346343,0.024094908638963686,dlpfc,Visium_DLPFC,patient,patient_
SEPT4,mean,0.0,0.0,0.1760454776288026,0.0,dlpfc,Visium_DLPFC,patient,patient_
SEPT4,pca_ridge,0.3552539847951309,0.2590171698811952,0.1760454776288026,0.09623681491393565,dlpfc,Visium_DLPFC,patient,patient_
SEPT4,spatial_knn,0.22851690882009668,0.2012670469341067,0.1760454776288026,0.027249861885989962,dlpfc,Visium_DLPFC,patient,patient_
SPP1,mean,0.0,0.0,0.2172672707758185,0.0,dlpfc,Visium_DLPFC,patient,patient_
SPP1,pca_ridge,0.44363552621209534,0.34017400527233366,0.2172672707758185,0.10346152093976169,dlpfc,Visium_DLPFC,patient,patient_
SPP1,spatial_knn,0.2845181836126499,0.24839542113366556,0.2172672707758185,0.036122762478984355,dlpfc,Visium_DLPFC,patient,patient_
TF,mean,0.0,0.0,0.2769873246015387,0.0,dlpfc,Visium_DLPFC,patient,patient_
TF,pca_ridge,0.478739936076901,0.37761824766888513,0.2769873246015387,0.10112168840801589,dlpfc,Visium_DLPFC,patient,patient_
