slide,split,model,seed,gene,pearson,spearman,rmse
Section_1,random,spatial_knn,0,IGHM,0.566776561657948,0.5263158734816806,0.713790703517809
Section_1,random,spatial_knn,0,HLA-DRB1,0.6148662954178609,0.6408891775153845,0.4667419343021459
Section_1,random,spatial_knn,0,C1QA,0.6969653822419447,0.7040749600956074,0.5032622609303339
Section_1,random,spatial_knn,0,IGHA1,0.5695173698747709,0.605451874890141,0.7445833580235313
Section_1,random,spatial_knn,0,DEGS1,0.5703404939613911,0.4979837820163646,0.5339634000169496
Section_1,random,spatial_knn,0,AC087379.2,0.5702325778290985,0.34381937326360085,0.340138760456616
Section_1,random,spatial_knn,0,AEBP1,0.6154419175285755,0.6242118387646275,0.5868630036721736
Section_1,random,spatial_knn,0,COL1A2,0.6105216596063883,0.6337585968149541,0.6122611113258379
Section_1,random,spatial_knn,0,GFRA1,0.5940270431494099,0.4237281640392229,0.519299472847332
Section_1,random,spatial_knn,0,COL1A1,0.5831067101233939,0.5920320298384787,0.6364582547643034
Section_1,random,spatial_knn,0,HLA-E,0.579997615548246,0.6463085493594902,0.4535904249227004
Section_1,random,spatial_knn,0,CFB,0.584827407412462,0.6135549361900026,0.48018523319096545
Section_1,random,spatial_knn,0,CCL19,0.6439835884744955,0.5566562050137752,0.4958245978304327
Section_1,random,spatial_knn,0,SNCG,0.5780398568316294,0.5384399236236651,0.5025031408631003
Section_1,random,spatial_knn,0,IGHG2,0.532007754003708,0.36856285539883654,0.5795782381509187
Section_2,random,spatial_knn,0,CRISP3,0.8461103184776992,0.42905621514033093,0.45953930352685
Section_2,random,spatial_knn,0,CPB1,0.815419856892693,0.777259684886264,0.5790012922781447
Section_2,random,spatial_knn,0,IGHG3,0.7180006063543675,0.7493583331136469,0.6341183005257497
Section_2,random,spatial_knn,0,CD74,0.8056040577072474,0.8030382209717171,0.3313535344278628
Section_2,random,spatial_knn,0,IGLC2,0.7123376694634787,0.7476627420033043,0.7603756104486874
Section_2,random,spatial_knn,0,HLA-B,0.8063005686591389,0.8124154226940463,0.27006287026711256
Section_2,random,spatial_knn,0,IGKC,0.7350117195511987,0.7672699019043628,0.6501640517679153
Section_2,random,spatial_knn,0,MALAT1,0.5069962881322136,0.5436675881284987,0.6500220691811739
Section_2,random,spatial_knn,0,ALB,0.7632374095459203,0.29312479953562115,0.45873532820265883
Section_2,random,spatial_knn,0,IGHG4,0.6775911340085297,0.6627827685995363,0.5223527915316212
Section_2,random,spatial_knn,0,TFF3,0.7715764353968213,0.7661505002332165,0.39473371782715744
Section_2,random,spatial_knn,0,CXCL14,0.8270958754146602,0.6569076798799371,0.4758363171974967
Section_2,random,spatial_knn,0,IGHG1,0.6896732784335611,0.704556642551769,0.6542981154492038
Section_2,random,spatial_knn,0,SLITRK6,0.7787884265021497,0.39185230151143313,0.31345529169517844
Section_2,random,spatial_knn,0,APOE,0.7045652737276153,0.6924701675681195,0.4703422328356865
Section_2,random,spatial_knn,0,MT-ND2,0.6702625986943139,0.685636569050057,0.47669255461580506
Section_2,random,spatial_knn,0,CALML5,0.7649893483067369,0.7239116930840829,0.3417926205610642
Section_2,random,spatial_knn,0,HLA-DRA,0.765463386267951,0.7692367064389579,0.38070163241153737
Section_2,random,spatial_knn,0,S100G,0.7112331408396979,0.6738289294594673,0.5681990357726274
Section_2,random,spatial_knn,0,LINC00645,0.7111914927356491,0.5459584678254322,0.40723287885072756
Section_2,random,spatial_knn,0,C3,0.59335077395545,0.5695024189258734,0.6015441694810054
Section_2,random,spatial_knn,0,IGLC3,0.5925646223475444,0.5239362192901125,0.726360270588786
Section_2,random,spatial_knn,0,IGLC1,0.4527788460825041,0.3505913009207702,0.7267186526914016
Section_2,random,spatial_knn,0,TIMP1,0.5810446946372589,0.5845909758130537,0.5913943883355561
Section_2,random,spatial_knn,0,APOC1,0.6252897139378499,0.6311960041102587,0.5325766205990122
Section_2,random,spatial_knn,0,TFF1,0.6656357860038498,0.6806938498019743,0.539085031368988
Section_2,random,spatial_knn,0,SCGB2A2,0.6597536386487334,0.6623955724910627,0.606983801519722
Section_2,random,spatial_knn,0,SCGB1D2,0.7052717790142963,0.714734098684045,0.579464994074757
Section_2,random,spatial_knn,0,SERPINA3,0.6487325842676798,0.6405325366377466,0.49955004629203653
Section_2,random,spatial_knn,0,LINC00052,0.707606856385796,0.2977189071212796,0.1998907630435566
Section_2,random,spatial_knn,0,AGR2,0.6682236990978305,0.594488449780599,0.46330382091258265
Section_2,random,spatial_knn,0,C6orf141,0.6038516149084087,0.28364360649421916,0.33336856361914635
Section_2,random,spatial_knn,0,LYZ,0.6893365739585117,0.6963286484809657,0.5182357284194957
Section_2,random,spatial_knn,0,CTSD,0.5675659244820473,0.5955048437772278,0.39095841900208833
Section_2,random,spatial_knn,0,HEBP1,0.6259035747124547,0.5763714603108216,0.5093261331831438
Section_2,random,spatial_knn,0,IGHM,0.636832769828065,0.49345300982963075,0.6274185220329157
Section_2,random,spatial_knn,0,HLA-DRB1,0.6838371720555991,0.6834048480527914,0.4270009603403245
Section_2,random,spatial_knn,0,C1QA,0.6305394053977098,0.6387676787695807,0.5139042666722445
Section_2,random,spatial_knn,0,IGHA1,0.5753024424074689,0.503744012892233,0.6816683916005063
Section_2,random,spatial_knn,0,DEGS1,0.6482130984852599,0.5425821140396203,0.46885557268574196
Section_2,random,spatial_knn,0,AC087379.2,0.5852044695890896,0.36489466149267846,0.3682860890962925
Section_2,random,spatial_knn,0,AEBP1,0.5852399406263292,0.569591967886393,0.5809995695859201
Section_2,random,spatial_knn,0,COL1A2,0.6156713874434652,0.6240403776811699,0.5321726387513858
Section_2,random,spatial_knn,0,GFRA1,0.650036995433729,0.48352536289388415,0.4910360886655443
Section_2,random,spatial_knn,0,COL1A1,0.6101346790041398,0.61105572421185,0.534055991859489
Section_2,random,spatial_knn,0,HLA-E,0.642918737156371,0.6880292373091855,0.38308774778328414
Section_2,random,spatial_knn,0,CFB,0.5829779626123193,0.6121136569760612,0.4688907268404651
Section_2,random,spatial_knn,0,CCL19,0.6037018260497946,0.4357578980333236,0.46745637311149574
Section_2,random,spatial_knn,0,SNCG,0.6008019820831031,0.5715859754558885,0.5034429926229481
Section_2,random,spatial_knn,0,IGHG2,0.38885454051562096,0.28996607141913644,0.6409365207219666
Section_1,matched_hop0,mean,0,CRISP3,0.0,,0.6229220628738403
Section_1,matched_hop0,mean,0,CPB1,0.0,,1.2087600231170654
Section_1,matched_hop0,mean,0,IGHG3,,,0.8192408084869385
Section_1,matched_hop0,mean,0,CD74,0.0,,0.606548547744751
Section_1,matched_hop0,mean,0,IGLC2,,,1.0313518047332764
Section_1,matched_hop0,mean,0,HLA-B,,,0.5231887102127075
Section_1,matched_hop0,mean,0,IGKC,0.0,,0.8087086081504822
Section_1,matched_hop0,mean,0,MALAT1,0.0,,0.654891848564148
Section_1,matched_hop0,mean,0,ALB,,,0.4164067208766937
Section_1,matched_hop0,mean,0,IGHG4,0.0,,0.6031838059425354
Section_1,matched_hop0,mean,0,TFF3,,,0.4786994159221649
Section_1,matched_hop0,mean,0,CXCL14,0.0,,0.653154194355011
Section_1,matched_hop0,mean,0,IGHG1,,,0.7311861515045166
Section_1,matched_hop0,mean,0,SLITRK6,0.0,,0.3708929121494293
Section_1,matched_hop0,mean,0,APOE,0.0,,0.6849831342697144
Section_1,matched_hop0,mean,0,MT-ND2,0.0,,0.5798755884170532
Section_1,matched_hop0,mean,0,CALML5,,,0.6802996397018433
Section_1,matched_hop0,mean,0,HLA-DRA,,,0.6722657084465027
Section_1,matched_hop0,mean,0,S100G,0.0,,0.5889895558357239
Section_1,matched_hop0,mean,0,LINC00645,,,0.7649078965187073
Section_1,matched_hop0,mean,0,C3,,,0.6856687664985657
Section_1,matched_hop0,mean,0,IGLC3,0.0,,0.7512127161026001
Section_1,matched_hop0,mean,0,IGLC1,,,0.7420466542243958
Section_1,matched_hop0,mean,0,TIMP1,,,0.7010937333106995
Section_1,matched_hop0,mean,0,APOC1,,,0.6436460614204407
Section_1,matched_hop0,mean,0,TFF1,,,0.6881667375564575
Section_1,matched_hop0,mean,0,SCGB2A2,0.0,,0.7507290840148926
Section_1,matched_hop0,mean,0,SCGB1D2,,,0.7068249583244324
Section_1,matched_hop0,mean,0,SERPINA3,0.0,,0.5124193429946899
Section_1,matched_hop0,mean,0,LINC00052,0.0,,0.4744609594345093
Section_1,matched_hop0,mean,0,AGR2,,,0.4963313937187195
Section_1,matched_hop0,mean,0,C6orf141,,,0.33029094338417053
Section_1,matched_hop0,mean,0,LYZ,,,0.8320176601409912
Section_1,matched_hop0,mean,0,CTSD,,,0.5383754372596741
Section_1,matched_hop0,mean,0,HEBP1,0.0,,0.6432585120201111
