gene,model,rand,pat,inflation,moran_i,dataset
AGR2,mean,0.0,0.0,0.0,0.1324995223814516,anderson
AGR2,pca_ridge,0.54922403548111,0.1581671855371886,0.3910568499439214,0.1324995223814516,anderson
AGR2,spatial_knn,0.023629441276381818,-0.02510927016761325,0.04873871144399507,0.1324995223814516,anderson
AGR3,mean,0.0,0.0,0.0,0.1426284395399444,anderson
AGR3,pca_ridge,0.40208512137113617,0.1063997254656518,0.29568539590548437,0.1426284395399444,anderson
AGR3,spatial_knn,0.05595810515795256,-0.027166885929629417,0.08312499108758198,0.1426284395399444,anderson
AGRP,mean,0.0,0.0,0.0,-0.0045711291887028,anderson
AGRP,pca_ridge,0.00594395261088424,0.010018834822035829,-0.004074882211151589,-0.0045711291887028,anderson
AGRP,spatial_knn,-0.00442407106961036,-0.0040636686747856565,-0.00036040239482470343,-0.0045711291887028,anderson
AP000769,mean,0.0,0.0,0.0,0.2195950598468359,anderson
AP000769,pca_ridge,0.748024849123922,0.17511112130020934,0.5729137278237126,0.2195950598468359,anderson
AP000769,spatial_knn,0.02880787470462674,-0.0149179698950988,0.04372584459972554,0.2195950598468359,anderson
AREG,mean,0.0,0.0,0.0,0.1498006185941157,anderson
AREG,pca_ridge,0.44932585014655374,0.10510741598179085,0.3442184341647629,0.1498006185941157,anderson
AREG,spatial_knn,0.12286826416413725,0.01474529541088765,0.1081229687532496,0.1498006185941157,anderson
ARHGAP21,mean,0.0,0.0,0.0,0.0037738437734691,anderson
ARHGAP21,pca_ridge,0.12141242959814005,0.0502539476804909,0.07115848191764915,0.0037738437734691,anderson
ARHGAP21,spatial_knn,-0.013564131967637,-0.0006194765195027257,-0.012944655448134274,0.0037738437734691,anderson
ASPH,mean,0.0,0.0,0.0,0.1078742777110338,anderson
ASPH,pca_ridge,0.636792000108567,0.36350916495062985,0.2732828351579371,0.1078742777110338,anderson
ASPH,spatial_knn,-0.0061255095998997405,-0.010095618880886713,0.003970109280986973,0.1078742777110338,anderson
ATP6V1E2,mean,0.0,0.0,0.0,-0.0002713841006147,anderson
ATP6V1E2,pca_ridge,0.06389784121273487,0.016178792823064437,0.047719048389670435,-0.0002713841006147,anderson
ATP6V1E2,spatial_knn,-0.01185392908575214,-0.009285053734806188,-0.002568875350945953,-0.0002713841006147,anderson
BAZ2B,mean,0.0,0.0,0.0,0.0038300287257142,anderson
BAZ2B,pca_ridge,0.24596939640343113,0.10492454476454778,0.14104485163888336,0.0038300287257142,anderson
BAZ2B,spatial_knn,0.00616300818399376,-0.00031597619806937594,0.006478984382063136,0.0038300287257142,anderson
BOD1L1,mean,0.0,0.0,0.0,0.0037938034682398,anderson
BOD1L1,pca_ridge,0.21222590269485928,0.09525246074617902,0.11697344194868026,0.0037938034682398,anderson
BOD1L1,spatial_knn,0.012327434152995718,0.002064683281869612,0.010262750871126106,0.0037938034682398,anderson
BRD4,mean,0.0,0.0,0.0,0.00914606336158,anderson
BRD4,pca_ridge,0.15281395157683844,0.05842721338659758,0.09438673819024086,0.00914606336158,anderson
