#Archive/File	Name	Time	Size	Type
File	GSM8558012_NEADT_16_matrix.mtx.gz	10/03/2024 06:33:33	21962681	MTX
File	GSM8558012_NEADT_16_scalefactors_json.json.gz	10/03/2024 06:24:42	157	JSON
File	GSM8558012_NEADT_16_tissue_hires_image.png.gz	10/03/2024 06:33:41	8109830	PNG
File	GSM8558012_NEADT_16_tissue_lowres_image.png.gz	10/03/2024 06:36:56	735119	PNG
File	GSM8558012_NEADT_16_tissue_positions_list.csv.gz	10/03/2024 06:27:08	61259	CSV
File	GSM8558013_NEADT_17_barcodes.tsv.gz	10/03/2024 06:25:42	8983	TSV
File	GSM8558013_NEADT_17_features.tsv.gz	10/03/2024 06:30:22	333437	TSV
File	GSM8558013_NEADT_17_matrix.mtx.gz	10/03/2024 06:28:08	13976511	MTX
File	GSM8558013_NEADT_17_scalefactors_json.json.gz	10/03/2024 06:37:44	158	JSON
File	GSM8558013_NEADT_17_tissue_hires_image.png.gz	10/03/2024 06:28:37	6553454	PNG
File	GSM8558013_NEADT_17_tissue_lowres_image.png.gz	10/03/2024 06:34:41	581990	PNG
File	GSM8558013_NEADT_17_tissue_positions_list.csv.gz	10/03/2024 06:37:08	62883	CSV
File	GSM8558014_NEADT_18_barcodes.tsv.gz	10/03/2024 06:24:02	8653	TSV
File	GSM8558014_NEADT_18_features.tsv.gz	10/03/2024 06:30:19	333437	TSV
File	GSM8558014_NEADT_18_matrix.mtx.gz	10/03/2024 06:37:08	10650384	MTX
File	GSM8558014_NEADT_18_scalefactors_json.json.gz	10/03/2024 06:37:10	157	JSON
File	GSM8558014_NEADT_18_tissue_hires_image.png.gz	10/03/2024 06:30:26	6951063	PNG
File	GSM8558014_NEADT_18_tissue_lowres_image.png.gz	10/03/2024 06:24:47	640298	PNG
File	GSM8558014_NEADT_18_tissue_positions_list.csv.gz	10/03/2024 06:27:07	67888	CSV
File	GSM8558015_NEADT_19_barcodes.tsv.gz	10/03/2024 06:29:01	9695	TSV
File	GSM8558015_NEADT_19_features.tsv.gz	10/03/2024 06:24:10	333437	TSV
File	GSM8558015_NEADT_19_matrix.mtx.gz	10/03/2024 06:27:22	13514200	MTX
File	GSM8558015_NEADT_19_scalefactors_json.json.gz	10/03/2024 06:25:53	156	JSON
File	GSM8558015_NEADT_19_tissue_hires_image.png.gz	10/03/2024 06:32:32	8235504	PNG
File	GSM8558015_NEADT_19_tissue_lowres_image.png.gz	10/03/2024 06:31:03	786593	PNG
File	GSM8558015_NEADT_19_tissue_positions_list.csv.gz	10/03/2024 06:37:08	59609	CSV
File	GSM8558016_NEADT_20_barcodes.tsv.gz	10/03/2024 06:37:49	12185	TSV
File	GSM8558016_NEADT_20_features.tsv.gz	10/03/2024 06:32:54	333437	TSV
File	GSM8558016_NEADT_20_matrix.mtx.gz	10/03/2024 06:27:41	26488643	MTX
File	GSM8558016_NEADT_20_scalefactors_json.json.gz	10/03/2024 06:31:01	157	JSON
